sid,cargo,inicio,final
31,senador,1994,2002
31,senador,1990,1994
1010,senador,2010,2018
1010,diputado,2006,2010
1010,diputado,2002,2006
281,senador,1990,1994
37,senador,1998,2006
37,senador,1990,1998
64,senador,2006,2014
64,senador,1998,2006
64,senador,1990,1998
120,senador,2006,2014
120,senador,1998,2006
120,diputado,1994,1998
120,diputado,1990,1994
206,senador,1990,1998
164,senador,1998,2006
280,senador,1990,1998
218,senador,1990,1994
218,diputado,2006,2010
218,diputado,2002,2006
165,senador,1998,2006
39,senador,1990,1998
65,senador,1990,1998
1011,senador,2010,2018
1011,diputado,2006,2010
1011,diputado,2002,2006
166,senador,1994,2002
166,senador,1990,1994
1064,senador,2011,2014
1064,diputado,2010,2011
1064,diputado,2006,2010
1064,diputado,2002,2006
25,senador,1998,2006
25,senador,1990,1998
865,senador,2005,2010
167,senador,1998,2006
148,senador,1998,2006
148,diputado,1994,1998
148,diputado,1990,1994
231,senador,1990,1994
1013,senador,2010,2018
1013,diputado,1998,2004
1013,diputado,1994,1998
1012,senador,2010,2018
1012,diputado,2006,2010
1012,diputado,2002,2006
41,senador,2002,2010
41,senador,1994,2002
60,senador,2010,2018
60,senador,1998,2006
60,senador,1990,1998
168,senador,1998,2006
