id,boletin,fecha,resumen,estado,url
6556,9962-12,2015-01-04,"Modifica el decreto ley N° 2.222, de 1978, con el objeto de prohibir el vertimiento,  derrame o disposición de resiuos mineros en las aguas sometidas a la jurisdicción nacional.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9962-12
6557,9970-12,2015-01-04,Establece la conformación de mesas de trabajo como mecanismo de participación ciudadana en los proyectos mineros y energéticos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9970-12
6558,9963-15,2015-01-04,"Modifica la ley N° 18.290, de Tránsito, en lo tocante al régimen de infracciones y sanciones específicas aplicables a conductores y propietarios de buses interurbanos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9963-15
6559,10077-06,2015-01-06,"Regula la realización de bingos, rifas y sorteos comunitarios con fines de beneficencia, los que no serán considerados juego de azar.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10077-06
6560,10071-15,2015-01-06,Modifica la ley que establece nuevo régimen legal para la industria automotriz con el fin de prohibir la importación de coches blindados usados para el transporte de valores.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10071-15
6561,10162-05,2015-01-07,"Modifica las leyes N°s 18.045 y 18.046, para establecer nuevas exigencias de transparencia y reforzamiento de responsabilidades de los agentes de los mercados.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10162-05
6562,10161-08,2015-01-07,"Modifica la Ley General de Servicios Eléctricos, para introducir mecanismos de equidad en las tarifas eléctricas.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10161-08
6563,10165-05,2015-01-07,Moderniza la legislación aduanera.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10165-05
6564,10169-07,2015-01-07,Modifica el Código Civil para establecer la obligación de las personas jurídicas de observar las normas y principios de probidad y transparencia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10169-07
6565,10170-16,2015-01-07,Modifica el Reglamento de la Cámara de Diputados para crear la comisión permanente de la infancia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10170-16
6566,10164-05,2015-01-07,Perfecciona al Sistema de Alta Dirección Pública y Fortalece la Dirección Nacional del Servicio Civil.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10164-05
6567,10171-16,2015-01-07,Modifica el Reglamento de la Cámara de Diputados para crear la comisión permanente del adulto mayor.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10171-16
6568,10277-06,2015-01-09,"Crea la XVI Región de Ñuble y las provincias de Diguillín, Punilla e Itata.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10277-06
6569,10279-31,2015-01-09,"Modifica la ley N° 20.422, que establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para incorporar la lengua de señas o el subtitulado oculto en los programas de contenido infantil o cultural",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10279-31
6570,10280-07,2015-01-09,"Modifica la ley N°20.600, que crea los tribunales ambientales, para conocer de las denuncias formuladas por los funcionarios de la Corporación Nacional Forestal o de Carabineros en los casos que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10280-07
6571,10278-07,2015-01-09,"Modifica la ley N° 18.314, que determina conductas terroristas y fija su penalidad, para sancionar con las inhabilidades a que se refiere el artículo 9 de la Constitución Política de la República a quienes soliciten o provean fondos para utilizarlos en la comisión de delitos terroristas",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10278-07
6572,10322-21,2015-01-10,"Modifica la ley general de Pesca y Acuicultura, para prescindir de la participación de entidades auditoras externas en el proceso de entrega de información de desembarque por viaje de pesca.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10322-21
6573,9853-15,2015-01-13,"Modifica la ley N° 20.433, en lo que respecta a la sanción por incumplimiento de los requisitos exigibles a las concesionarias de servicios de radiodifusión comunitaria ciudadana, para difundir menciones comerciales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9853-15
6574,9845-14,2015-01-13,"Establece una disposición interpretativa del inciso primero del artículo 10 de la ley N° 19.537, en materia de espacios que sean bienes nacionales de uso público y los de dominio comunitario en el régimen de copropiedad inmobiliaria.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9845-14
6575,9851-11,2015-01-13,Crea un Sistema de Protección Financiera para Tratamientos de Alto costo y rinde homenaje póstumo a don Luis Ricarte Soto Gallegos,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9851-11
6576,9856-18,2015-01-13,"Modifica el Código Civil, derogando la institución de los esponsales",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9856-18
6577,9867-01,2015-01-13,"Modifica la ley de Bosques y la ley General de Servicios Eléctricos, con el objeto de establecer medidas para prevenir los incendios forestales y los cortes de tendidos eléctricos que los originan.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9867-01
6578,9854-15,2015-01-13,"Modifica la ley de Tránsito, creando la categoría de vehículos de bomberos",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9854-15
6579,9852-07,2015-01-13,"Modifica la ley N° 20.730, que Regula el lobby y las gestiones que representen intereses particulares ante las autoridades y funcionarios",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9852-07
6580,9859-07,2015-01-14,Dispone la sanción de pérdida del cargo para la autoridad elegida que haya infringido las normas sobre gastos electorales o sobre probidad y transparencia.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9859-07
6581,9858-03,2015-01-14,Modifica diversos cuerpos legales para establecer la representación de género en los directorios de las empresas públicas.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9858-03
6582,9857-15,2015-01-14,"Modifica la ley N° 18.290, de Tránsito, para calificar de infracción gravísima la conducción de buses interurbanos con neumáticos en mal estado.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9857-15
6583,9861-18,2015-01-14,"Modifica las leyes N°s 14.908 y 19.968, para establecer un mecanismo eficaz de pago de las pensiones alimenticias por parte de trabajadores dependientes.",rechazado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9861-18
6584,9862-33,2015-01-15,Faculta al Estado para la creación de plantas desalinizadoras,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9862-33
6585,9868-05,2015-01-20,Otorga una bonificación especial para funcionarios públicos de la Región de Atacama que cumplan condiciones que se indican.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9868-05
6586,9866-04,2015-01-20,Otorga a los profesionales de la educación que indica una bonificación por retiro voluntario,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9866-04
6587,9869-13,2015-01-20,Modifica el Código del Trabajo para otorgar descanso dominical a los trabajadores del comercio y a los que desarrollan otras actividades exceptuadas de este derecho.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9869-13
6588,9865-11,2015-01-20,Perfecciona normativa sobre profesionales y trabajadores del sector público de salud,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9865-11
6589,9864-21,2015-01-20,Amplía plazo de cierre para otorgar nuevas concesiones de acuicultura.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9864-21
6590,9863-11,2015-01-21,Establece el Día Nacional de la Alimentación Saludable.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9863-11
6591,9870-01,2015-01-21,"Modifica la ley N° 19.473, con el objeto de limitar los permisos de caza a las situaciones que indica y de aumentar las sanciones a la caza ilegal de especies.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9870-01
6592,9874-07,2015-01-22,"Modifica el Código Orgánico de Tribunales, en cuanto al requisito de práctica profesional para obtener el título de abogado.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9874-07
6593,9872-07,2015-01-22,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para complementar la regulación de los conflictos de interés y establecer sanciones efectivas en caso de infracción a los impedimentos que en ella se establecen.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9872-07
6594,9873-11,2015-01-22,"Establece un régimen de protección integral de la mujer con embarazo vulnerable y del hijo que está por nacer, y modifica la Ley que Establece Medidas Contra la Discriminación.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9873-11
6595,9871-11,2015-01-22,"Modifica la ley N° 20.584, que Regula los derechos y deberes que tienen las personas en relación con acciones vinculadas a su atención en salud, con el propósito de aumentar la sanción penal a quienes agredan a integrantes del equipo de salud.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9871-11
6596,9886-13,2015-01-26,Modifica el Código del Trabajo con el objeto de establecer  un  procedimiento  previo  al  que  debe  someterse  el  empleador  en caso  de  despidos  colectivos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9886-13
6597,9877-07,2015-01-26,Modifica el Código Penal con el objeto de tipificar el delito de maltrato de menores y otras personas vulnerables.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9877-07
6598,9875-06,2015-01-27,Concede la nacionalidad por gracia a Roberto Jesús Kozak,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9875-06
6599,9883-11,2015-01-27,"Modifica el artículo 136 del decreto con fuerza de ley N° 1, de 2006, del Ministerio de Salud, que fija el texto refundido, coordinado y sistematizado del decreto ley N° 2.763, de 1979, y de las leyes N° 18.918 y N° 18.469, en lo referente a los beneficios del que está por nacer.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9883-11
6600,9882-01,2015-01-27,Establece regulaciones sobre los parques zoológicos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9882-01
6601,9885-07,2015-01-27,"Facilita la aplicación efectiva de las penas establecidas para los delitos de robo, hurto y receptación y mejora la persecución penal en dichos delitos.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9885-07
6602,9881-13,2015-01-27,"Modifica el Código del Trabajo y la ley de Tránsito, en lo referente a las condiciones laborales de los auxiliares de los buses interurbanos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9881-13
6603,9884-03,2015-01-27,Regula la publicidad de las tarifas en las autopistas.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9884-03
6604,9878-06,2015-01-27,"Modifica la ley orgánica constitucional de Municipalidades, encomendando a una ordenanza la regulación de la utilización de bolsas plásticas.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9878-06
6605,9876-24,2015-01-27,"Autoriza la construcción de un monumento en homenaje a los exmineros del carbón, en la comuna de Coronel.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9876-24
6606,9879-07,2015-01-27,Otorga mayor protección a la ciudadanía estableciendo sanciones más efectivas para la reincidencia en el delito de hurto y agrava la penalidad en los delitos de robo y hurto cometidos en medios de transporte público.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9879-07
6607,9905-07,2015-01-28,"Regula la responsabilidad penal de candidatos y titulares de cargos de elección popular, y establece un procedimiento para la persecución de delitos contra la fe pública.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9905-07
6608,9900-07,2015-01-28,Declara el 11 de marzo como Día Nacional de Restauración de la Democracia y de la Reinstalación del Congreso Nacional.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9900-07
6609,9889-24,2015-01-28,"Extiende la aplicación de la ley N° 20.243, que Establece normas sobre los derechos morales y patrimoniales de los intérpretes de las ejecuciones artísticas fijadas en formato audiovisual.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9889-24
6610,9903-12,2015-01-28,Declara monumento natural la especie Tamarugo.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9903-12
6611,9904-07,2015-01-28,"Modifica el Código Penal y el decreto ley N° 645, de 1925, sobre el Registro General de Condenas, con el propósito de aumentar las penas en el caso de delito de lesiones cometidos en contra de menores y de establecer inhabilidades para condenados por esos ilícitos.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9904-07
6612,9902-11,2015-01-28,"Establece los derechos de la mujer embarazada en relación con su atención antes, durante y después del parto, y modifica el Código Penal para sancionar la violencia obstétrica.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9902-11
6613,9891-05,2015-01-28,Modifica la ley N°19.995 y prorroga el funcionamiento de los casinos municipales.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9891-05
6614,9901-07,2015-01-28,Modifica el Código Penal para sancionar la seducción de menores por medios virtuales.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9901-07
6615,9887-10,2015-01-29,"Acuerdo  entre  el  Gobierno  de  la  República  de  Chile  y  el Gobierno  de  la  República  Italiana  sobre  autorización  para  el  ejercicio  de actividad  laboral  de  los  familiares  dependientes  del personal diplomático, consular  y  técnico-administrativo  de  las  Misiones  Diplomáticas  y Representaciones Consulares, suscrito en Roma, Italia, el 13 de diciembre de 2013.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9887-10
6616,9890-08,2015-01-29,Modifica la ley de Servicios de Gas y otras disposiciones legales que indica. ,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9890-08
6617,9888-10,2015-01-29,"Aprueba el Acuerdo sobre Servicios Aéreos entre el Gobierno de la  República  de  Chile  y  el  Gobierno  de  Barbados,  suscrito  en  Bridgetown, Barbados, el 29 de noviembre de 2013. ",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9888-10
6618,9899-05,2015-01-30,Establece una ley marco para la inversión extranjera directa en Chile y crea la institucionalidad respectiva. ,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9899-05
6619,9906-11,2015-01-30,Establece normas sobre certificación de especialidades médicas cursadas o ejercidas en el extranjero.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9906-11
6620,9898-05,2015-01-30,Fortalece al Servicio de Impuestos Internos para implementar la Reforma Tributaria. ,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9898-05
6621,9896-07,2015-01-30,Crea  juzgados  que  indica  y  modifica  diversos  cuerpos  legales para  alterar  la  composición  de  diversos  tribunales  de  justicia.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9896-07
6622,9895-11,2015-01-31,Regula  la  despenalización  de  la  interrupción  voluntaria  del embarazo  en  tres  causales.  ,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9895-11
6623,9897-10,2015-01-31,Aprueba el Acuerdo entre el Gobierno de la República de Chile y la Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos relativo al establecimiento de una oficina regional para América del Sur en Chile y el Acuerdo Interpretativo referido a la aplicación del Artículo VI de este,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9897-10
6624,9969-13,2015-02-04,Modifica el Código del Trabajo en materia de procedencia del derecho a sala cuna.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9969-13
6625,10079-06,2015-02-06,"Modifica la ley N° 19.995, que Establece las Bases Generales para la Autorización, Funcionamiento y Fiscalización de Casinos de Juego, declarando que los bingos y actividades similares, con fines benéficos no constituyen un juego de azar.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10079-06
6626,10080-06,2015-02-06,"Modifica la ley N° 19.995 que establece las Bases Generales para la Autorización, Funcionamiento y Fiscalización de los Casinos de Juegos, permitiendo la realización de bingos y rifas para fines benéficos.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10080-06
6627,10075-05,2015-02-06,Modifica el Estatuto del Personal perteneciente a las Plantas I y II de Gendarmería de Chile en materia de ascensos.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10075-05
6628,10083-24,2015-02-06,"Dispone una cuota de exhibición pública de libros de autores nacionales, en librerías o establecimientos de venta de libros.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10083-24
6629,10078-06,2015-02-06,"Modifica la ley N° 10.262 en lo relativo a la realización de rifas, sorteos y otras actividades benéficas.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10078-06
6630,10076-14,2015-02-06,Establece un procedimiento especial para la regularización de viviendas y edificaciones destinadas a microempresas o equipamiento social.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10076-14
6631,10081-06,2015-02-06,Establece marco de autorización para la realización de bingos con fines de beneficencia y esparcimiento.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10081-06
6632,10087-07,2015-02-06,Reforma constitucional sobre ejercicio del derecho a reunión.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10087-07
6633,10085-07,2015-02-06,"Modifica el Código Penal incorporando como circunstancia agravante de la responsabilidad penal, el cometer delito durante el desarrollo de una manifestación pública.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10085-07
6634,10084-06,2015-02-06,"Modifica la ley N°18.700 orgánica constitucional sobre Votaciones Populares y Escrutinios prohibiendo, durante el período de campaña electoral, la celebración de todo acto oficial en que se otorguen beneficios con financiamiento fiscal.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10084-06
6635,10174-03,2015-02-07,"Modifica la ley N° 18.046, sobre Sociedades Anónimas, en materia de inhabilidades para ejercer el cargo de director de sociedades anónimas abiertas.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10174-03
6636,10173-11,2015-02-07,"Modifica la ley N° 19.419 que Regula actividades que indica relacionadas con el tabaco, en relación con los lugares en que se prohíbe fumar.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10173-11
6637,10178-24,2015-02-07,"Modifica la ley N°19.253 que Establece normas sobre protección, fomento y desarrollo de los indígenas, y crea la Corporación Nacional de Desarrollo Indígena, en materia de valoración y promoción de los idiomas indígenas.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10178-24
6638,10366-03,2015-02-11,"Modifica el decreto con fuerza de ley N° 1, de 2005, del Ministerio de Economía, Fomento y Reconstrucción, que fija el texto refundido, coordinado y sistematizado del decreto ley Nº 211, de 1973, y otros cuerpos legales, en lo relativo al delito de colusión.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10366-03
6639,10365-01,2015-02-11,"Modifica la ley N°20.283, sobre recuperación del bosque nativo y fomento forestal, para sancionar la tala ilegal de especies con penas privativas de libertad",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10365-01
6640,10364-25,2015-02-11,"Modifica la ley N°20.084, que establece un sistema de responsabilidad de los adolescentes por infracciones a la ley penal, para disponer que no procederá la libertad asistida cuando el infractor sea reincidente",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10364-25
6641,9894-15,2015-03-03,"Modifica la Ley General de Telecomunicaciones, en materia de individualización y recolección de datos de usuarios de servicios telefónicos de prepago.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9894-15
6642,9892-07,2015-03-03,Perfecciona la justicia tributaria y aduanera.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9892-07
6643,9893-15,2015-03-03,Modifica la Ley de Tránsito para establecer una zona de detención de bicicletas en los cruces regulados.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9893-15
6644,10088-05,2015-03-06,"Modifica la ley N° 19.862 que Establece registros de las personas jurídicas receptoras de fondos públicos, estableciendo la prohibición de que estas contraten con personas relacionadas.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10088-05
6645,10086-06,2015-03-06,"Modifica la ley N°19.995 sobre Autorización, Funcionamiento y Fiscalización de Casinos de Juego, permitiendo la realización de bingos de beneficencia o caridad, y otras actividades similares.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10086-06
6646,10287-14,2015-03-09,"Modifica la ley General de Urbanismo y Construcciones para incluir en las exigencias que se efectúan al diseño de las obras de urbanización y edificación, la reutilización de aguas grises",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10287-14
6647,10286-07,2015-03-09,Modifica el Código Penal en materia del delito de estafa,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10286-07
6648,10283-24,2015-03-09,Autoriza erigir un monumento en homenaje a los ex trabajadores de las empresas textiles de la comuna de Tomé,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10283-24
6649,10284-07,2015-03-09,"Modifica la ley N°19.884, sobre transparencia, límite y control del gasto electoral, para facultar al Juez de Garantía para requerir del Servicio Electoral información relativa a los aportes de campaña electoral a que se refieren los artículos 17 y siguientes de dicha ley",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10284-07
6650,10285-18,2015-03-09,Establece normas de promoción integral de los derechos de los adultos mayores,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10285-18
6651,10282-06,2015-03-09,"Modifica la ley N° 19.418, sobre juntas de vecinos y demás organizaciones comunitarias, con el fin de suspender el plazo para renovar sus directorios una vez que se ingresan los antecedentes al tribunal electoral competente.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10282-06
6652,10289-24,2015-03-09,Establece el día de la Cultura Chinchorro,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10289-24
6653,10370-24,2015-03-11,Establece el día nacional de las manipuladoras y manipuladores de alimentos,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10370-24
6654,10368-04,2015-03-11,Crea el Sistema de Educación Pública y modifica diversos cuerpos legales.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10368-04
6655,10367-13,2015-03-11,Perfecciona el permiso postnatal parental y el ejercicio del derecho a sala cuna para los funcionarias y funcionarios públicos que indica.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10367-13
6656,9929-07,2015-03-16,"Modifica el Código Procesal Penal con el fin de disponer un plazo máximo para el ejercicio de las facultades del Ministerio Público que se le confieren en los artículos 167, 168 y 230 del referido código.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9929-07
6657,9933-24,2015-03-17,Autoriza la construcción de un monumento en homenaje al exsenador y canciller de la República don Gabriel Valdés Subercaseaux,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9933-24
6658,9932-07,2015-03-17,"Reforma constitucional que dispone el cese del cargo para el parlamentario que cometa los delitos e irregularidades que indica, estableciendo la inhabilidad perpetua para optar a cargos públicos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9932-07
6659,9934-03,2015-03-17,Modifica diversos cuerpos legales en materia de delitos contra la libre competencia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9934-03
6660,9936-07,2015-03-17,Modifica el Código Penal para tipificar el acoso sexual callejero.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9936-07
6661,9931-11,2015-03-17,Modifica las leyes Nos 20.645 y 20.646 relativas a la asignación asociada al mejoramiento de la calidad del trato al usuario de establecimientos de salud.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9931-11
6662,9935-07,2015-03-17,"Modifica el Código Penal en materia de delitos de cohecho y prevaricación, y el Código Tributario en cuanto a la legitimación activa en el caso de delitos tributarios.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9935-07
6663,9941-07,2015-03-18,"Reforma constitucional que incorpora, dentro de las inhabilidades para ser candidato a diputado o senador, la circunstancia de ser juez o secretario de los juzgados de policía local.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9941-07
6664,9943-16,2015-03-18,Modifica el Reglamento de la Cámara de Diputados con el objeto de establecer la Comisión permanente de Adulto Mayor.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9943-16
6665,9940-16,2015-03-18,Modifica el Reglamento de la Cámara de Diputados para crear una Comisión permanente de Adulto Mayor,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9940-16
6666,9944-07,2015-03-18,Reforma constitucional que permite la renuncia libre y voluntaria al cargo de parlamentario.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9944-07
6667,9938-17,2015-03-18,"Modifica la ley N° 20.609 para incorporar en el concepto de discriminación arbitraria toda distinción, exclusión o restricción que afecte a la maternidad o al nacimiento.",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9938-17
6668,9945-03,2015-03-18,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para la certificación gratuita de título y estudios a favor de los egresados de las instituciones de educación superior.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9945-03
6669,9947-18,2015-03-18,"Modifica la ley N°20.066, de Violencia Intrafamiliar, en protección de niños, niñas y adolescentes.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9947-18
6670,9937-14,2015-03-18,Modifica la ley N° 19.537 para establecer el sistema de voto electrónico en las asambleas de copropietarios.,suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9937-14
6671,9942-07,2015-03-18,Reforma constitucional que establece y regula el referendo revocatorio de los cargos de elección popular que indica.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9942-07
6672,9939-14,2015-03-18,Establece un procedimiento simplificado para la regularización de viviendas de autoconstrucción.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9939-14
6673,9948-07,2015-03-18,Modifica el Código Penal fortaleciendo las normas de protección a los voluntarios de los cuerpos de bomberos en actos de servicio.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9948-07
6674,9946-06,2015-03-18,"Modifica la ley orgánica constitucional de Municipalidades, sobre fuerza vinculante de los plebiscitos comunales.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9946-06
