id,boletin,fecha,resumen,estado,url
7731,11076-15,2017-04-01,"Modifica la ley N° 18.290, de Tránsito, con el objeto de exceptuar a las motos de reparto de la prohibición de estacionamiento y detención en aceras y pasos de peatones",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11076-15
7732,11073-07,2017-04-01,"Modifica el Código Procesal Penal en materia de procedencia de la prisión preventiva y de suspensión de ejecución de la sentencia, respecto de mujeres embarazadas o que tengan hijos o hijas menores de tres años.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11073-07
7733,11074-07,2017-04-01,Modifica la Carta Fundamental en el sentido de suprimir las referencias al terrorismo en las normas que indica,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11074-07
7734,11176-07,2017-04-04,Crea el Servicio Nacional de Protección Especializada de Niños y Niñas y modifica normas legales que indica,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11176-07
7735,11175-01,2017-04-04,Crea el Servicio Nacional Forestal y modifica la Ley General de Urbanismo y Construcciones,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11175-01
7736,11177-06,2017-04-04,"Establece como feriado para la comuna de Maipú, el día 5 de abril de 2018, y en lo sucesivo, la misma fecha cada cien años",suspendido,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11177-06
7737,11174-07,2017-04-04,"Crea el Servicio Nacional de Reinserción Social Juvenil e introduce modificaciones a la ley N° 20.084, sobre responsabilidad penal de adolescentes, y a otras normas que indica.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11174-07
7738,11178-03,2017-04-04,"Modifica la ley N° 19.496, sobre protección de los derechos de los consumidores, en lo relativo al derecho a retracto en los contratos de prestación de servicios educacionales.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11178-03
7739,11215-07,2017-04-05,Modifica el Código Procesal Penal en el sentido de habilitar al querellante particular para deducir la acusación penal en el caso que indica,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11215-07
7740,11216-07,2017-04-05,Modifica el Código Penal para crear los delitos de inducción al suicidio y de inducción a la autolesión,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11216-07
7741,11310-06,2017-04-07,"Modifica la ley N° 18.700, orgánica constitucional de Votaciones Populares y Escrutinios, para permitir el voto anticipado",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11310-06
7742,11295-04,2017-04-07,"Modifica la ley N° 20.370, General de Educación, para asegurar la reincorporación de las alumnas embarazadas que hayan suspendido sus estudios de educación superior",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11295-04
7743,11420-06,2017-04-09,"Modifica la ley N° 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, con el objeto de prohibir inauguraciones de obras y entrega de beneficios estatales antes de una elección, en el período que indica",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11420-06
